state,year
Massachusetts,2004
Connecticut,2008
Iowa,2009
Vermont,2009
New Hampshire,2010
New York,2011
Washington,2012
Maine,2012
Maryland,2013
California,2013
Delaware,2013
Minnesota,2013
Rhode Island,2013
New Jersey,2013
Hawaii,2013
New Mexico,2013
Oregon,2014
Pennsylvania,2014
Illinois,2014
Indiana,2014
Oklahoma,2014
Utah,2014
Virginia,2014
Wisconsin,2014
Colorado,2014
Nevada,2014
West Virginia,2014
North Carolina,2014
Idaho,2014
Alaska,2014
Arizona,2014
Wyoming,2014
Kansas,2014
Montana,2014
South Carolina,2014
Florida,2015
Alabama,2015
Arkansas,2015
Georgia,2015
Kentucky,2015
Louisiana,2015
Michigan,2015
Mississippi,2015
Missouri,2015
Nebraska,2015
North Dakota,2015
Ohio,2015
South Dakota,2015
Tennessee,2015
Texas,2015
